job_opportunity_id,descricao_vaga_area,inicio_inscricoes,termino_inscricoes,setor_empresa,name,Interesses
2895,Estágio em Melhoria Contínua de Processos,2023-05-19 13:27:00.000000,2023-06-12 14:52:00.000000,"Saúde, Hospitalar e Laboratorial",Estágio,Saúde
2897,Estágio em ESG - Sustentabilidade,2023-05-19 09:37:00.000000,2023-06-12 18:53:00.000000,"Saúde, Hospitalar e Laboratorial",Estágio,Juridico
2899,Estágio em Enfermagem,2023-05-19 11:52:00.000000,2023-06-12 20:54:00.000000,"Saúde, Hospitalar e Laboratorial",Estágio,Saúde
2945,Estágio Corporate Development e M&A,2023-06-12 20:31:00.000000,2023-07-19 02:59:00.000000,Agronegócios,Estágio,Administrativo
2793,Estágio em Revenue Management,2023-03-29 14:00:00.000000,2023-04-11 02:59:00.000000,Bebidas,Estágio,Administrativo
2811,ESTÁGIO EM LOGÍSTICA ou COMEX,2023-04-12 20:45:00.000000,2023-05-10 02:59:00.000000,Indústria,Estágio,Logística / Supply Chain
2810,ESTÁGIO EM SECRETARIADO,2023-04-10 21:20:00.000000,2023-05-10 02:59:00.000000,Indústria,Estágio,RH
2882,Programa de Trainee,2023-05-09 20:30:00.000000,2023-06-28 02:59:00.000000,Transporte e Logística,Prestador de Serviços/PJ,ALL
2883,Estágio em Treasury,2023-05-10 20:13:00.000000,2023-05-24 02:59:00.000000,Bancos,Estágio,Administrativo
2890,Estágio Financeiro de Comunicações / Curitiba,2023-05-12 16:07:04.287870,2023-05-22 02:59:00.000000,Máquinas e Equipamentos,Estágio,Marketing / Comunicação
2891,Estágio Finanças / P&D -  Curitiba,2023-05-12 16:14:20.675928,2023-05-21 16:13:00.000000,Máquinas e Equipamentos,Estágio,Comercial / Vendas
2884,Programa de trainee,2023-05-09 20:59:18.000000,2023-05-12 20:58:00.000000,Tecnologia e Informática,Trainee,ALL
2924,Estágio em Ergonomia – Sorocaba,2023-05-29 20:02:37.077953,2023-06-11 20:01:00.000000,Máquinas e Equipamentos,Estágio,Saúde
2928,Estágio em Compras Indiretas – Sorocaba,2023-05-29 20:21:25.137025,2023-06-12 02:59:00.000000,Máquinas e Equipamentos,Estágio,Comercial / Vendas
2934,Estagiário Qualidade -  Contagem,2023-05-30 20:49:27.152373,2023-06-19 02:59:00.000000,Máquinas e Equipamentos,Estágio,Produção / Operações
2938,Estágio em Engenharia do Produto - Piracicaba,2023-05-31 12:49:12.713760,2023-06-19 02:59:00.000000,Máquinas e Equipamentos,Estágio,Produção / Operações
2823,Estágio em Comunicação Corporativa / Curitiba,2023-04-17 13:12:00.000000,2023-05-14 13:12:00.000000,Máquinas e Equipamentos,Estágio,Marketing / Comunicação
2943,Estágio Ofertas Integradas,2023-06-12 20:32:00.000000,2023-07-19 02:59:00.000000,Agronegócios,Estágio,Comercial / Vendas
