user_id,key,superfit_dis,superfit_sin,superfit_cur,superfit_int,superfit_eng,superfit_res
1297632,SF_DS,60.00,54.00,38.00,44.00,46.00,38.00
1125210,SF_DS,56.00,54.00,22.00,36.00,30.00,46.00
1088752,SF_DS,46.00,40.00,30.00,34.00,22.00,36.00
1116197,SF_DS,32.00,30.00,26.00,28.00,24.00,28.00
1082188,SF_DS,54.00,48.00,46.00,42.00,36.00,44.00
1155034,SF_DS,60.00,56.00,36.00,50.00,40.00,38.00
1286675,SF_DS,66.00,60.00,50.00,50.00,56.00,56.00
1139431,SF_DS,68.00,64.00,48.00,58.00,54.00,52.00
1402182,SF_DS,56.00,48.00,24.00,38.00,42.00,46.00
1088428,SF_DS,48.00,50.00,34.00,46.00,40.00,30.00
1122331,SF_DS,60.00,58.00,46.00,56.00,54.00,50.00
1143565,SF_DS,60.00,50.00,30.00,42.00,46.00,42.00
1102846,SF_DS,56.00,54.00,28.00,44.00,26.00,44.00
1278314,SF_DS,58.00,48.00,24.00,34.00,36.00,34.00
1123492,SF_DS,56.00,58.00,40.00,54.00,52.00,48.00
1372166,SF_DS,56.00,54.00,26.00,44.00,38.00,48.00
1133209,SF_DS,54.00,70.00,38.00,38.00,52.00,42.00
1112749,SF_DS,56.00,58.00,34.00,54.00,30.00,44.00
610486,SF_DS,52.00,48.00,34.00,46.00,38.00,44.00
1311028,SF_DS,66.00,56.00,38.00,54.00,46.00,52.00
1108298,SF_DS,40.00,38.00,24.00,34.00,34.00,36.00
1307676,SF_DS,64.00,52.00,40.00,42.00,38.00,50.00
1126562,SF_DS,68.00,70.00,42.00,58.00,54.00,62.00
1313266,SF_DS,56.00,62.00,46.00,36.00,46.00,54.00
1021995,SF_DS,58.00,62.00,30.00,44.00,48.00,52.00
1134246,SF_DS,64.00,60.00,40.00,46.00,30.00,56.00
1117386,SF_DS,58.00,48.00,40.00,46.00,38.00,42.00
1295494,SF_DS,60.00,58.00,34.00,46.00,50.00,38.00
1146247,SF_DS,60.00,54.00,46.00,50.00,48.00,52.00
1123308,SF_DS,60.00,58.00,48.00,56.00,46.00,56.00
1303753,SF_DS,58.00,54.00,40.00,46.00,38.00,48.00
1313265,SF_DS,32.00,26.00,14.00,14.00,20.00,20.00
1140462,SF_DS,64.00,62.00,38.00,54.00,46.00,46.00
1144665,SF_DS,64.00,62.00,50.00,54.00,46.00,54.00
1098392,SF_DS,56.00,50.00,32.00,26.00,34.00,40.00
1114155,SF_DS,50.00,48.00,44.00,44.00,24.00,40.00
1100635,SF_DS,66.00,68.00,54.00,64.00,58.00,64.00
1100441,SF_DS,68.00,56.00,44.00,54.00,48.00,34.00
1308686,SF_DS,64.00,58.00,42.00,44.00,50.00,56.00
1308025,SF_DS,56.00,64.00,48.00,38.00,34.00,54.00
1128024,SF_DS,48.00,52.00,34.00,42.00,34.00,38.00
1106685,SF_DS,58.00,54.00,48.00,38.00,32.00,36.00
1116228,SF_DS,52.00,50.00,46.00,46.00,44.00,42.00
1302091,SF_DS,66.00,52.00,40.00,50.00,48.00,48.00
1119463,SF_DS,64.00,76.00,38.00,44.00,44.00,50.00
1129679,SF_DS,50.00,58.00,38.00,42.00,30.00,46.00
1291508,SF_DS,56.00,62.00,42.00,44.00,54.00,54.00
1402291,SF_DS,52.00,46.00,42.00,34.00,18.00,44.00
1141631,SF_DS,44.00,54.00,38.00,34.00,24.00,32.00
1295130,SF_DS,60.00,58.00,46.00,54.00,40.00,54.00
1136187,SF_DS,54.00,48.00,44.00,38.00,40.00,40.00
1289199,SF_DS,60.00,60.00,46.00,54.00,58.00,56.00
1397946,SF_DS,54.00,62.00,38.00,46.00,36.00,48.00
1233507,SF_DS,56.00,58.00,42.00,54.00,48.00,50.00
1127108,SF_DS,56.00,54.00,28.00,44.00,46.00,48.00
1321338,SF_DS,62.00,58.00,34.00,46.00,40.00,56.00
1369415,SF_DS,64.00,50.00,44.00,48.00,40.00,38.00
1314432,SF_DS,70.00,58.00,40.00,50.00,44.00,54.00
1125998,SF_DS,58.00,50.00,40.00,44.00,40.00,38.00
1398907,SF_DS,66.00,52.00,36.00,50.00,36.00,44.00
1119761,SF_DS,52.00,56.00,48.00,40.00,38.00,50.00
1099345,SF_DS,60.00,54.00,28.00,44.00,38.00,42.00
1111843,SF_DS,56.00,48.00,20.00,38.00,36.00,32.00
1083174,SF_DS,46.00,42.00,28.00,30.00,26.00,40.00
1293875,SF_DS,62.00,62.00,44.00,60.00,42.00,60.00
1106817,SF_DS,64.00,60.00,38.00,54.00,52.00,56.00
1111853,SF_DS,74.00,58.00,44.00,42.00,54.00,54.00
1028643,SF_DS,50.00,46.00,24.00,36.00,34.00,30.00
1134949,SF_DS,60.00,48.00,40.00,32.00,34.00,44.00
1104080,SF_DS,58.00,62.00,52.00,50.00,54.00,44.00
1394402,SF_DS,56.00,52.00,28.00,38.00,26.00,42.00
1088528,SF_DS,58.00,60.00,44.00,52.00,54.00,52.00
1310953,SF_DS,70.00,64.00,36.00,56.00,54.00,56.00
1108363,SF_DS,72.00,66.00,26.00,34.00,38.00,44.00
1108545,SF_DS,46.00,50.00,42.00,44.00,42.00,36.00
29729,SF_DS,58.00,54.00,50.00,44.00,46.00,48.00
1096733,SF_DS,64.00,60.00,50.00,54.00,48.00,58.00
1097609,SF_DS,76.00,68.00,36.00,66.00,56.00,44.00
1095924,SF_DS,52.00,56.00,50.00,42.00,44.00,50.00
1133428,SF_DS,58.00,66.00,52.00,56.00,56.00,56.00
1015973,SF_DS,60.00,58.00,48.00,56.00,56.00,44.00
1311773,SF_DS,58.00,56.00,38.00,42.00,42.00,46.00
1125054,SF_DS,66.00,64.00,60.00,62.00,58.00,54.00
1140757,SF_DS,54.00,48.00,38.00,46.00,40.00,44.00
1395584,SF_DS,58.00,48.00,18.00,34.00,24.00,38.00
1285835,SF_DS,60.00,64.00,52.00,54.00,56.00,54.00
1100157,SF_DS,60.00,62.00,36.00,50.00,36.00,58.00
1114252,SF_DS,48.00,52.00,26.00,42.00,36.00,38.00
521513,SF_DS,62.00,58.00,48.00,48.00,50.00,56.00
1111458,SF_DS,60.00,58.00,42.00,56.00,52.00,56.00
1400177,SF_DS,36.00,42.00,18.00,32.00,14.00,34.00
796316,SF_DS,56.00,52.00,26.00,48.00,42.00,40.00
1102947,SF_DS,50.00,48.00,46.00,44.00,40.00,38.00
1316641,SF_DS,56.00,56.00,48.00,54.00,46.00,46.00
1306056,SF_DS,72.00,58.00,52.00,52.00,46.00,46.00
1391751,SF_DS,62.00,56.00,32.00,40.00,38.00,40.00
1106724,SF_DS,56.00,48.00,34.00,44.00,40.00,40.00
1122323,SF_DS,56.00,54.00,30.00,38.00,52.00,50.00
1129964,SF_DS,62.00,60.00,54.00,54.00,52.00,58.00
1320928,SF_DS,48.00,54.00,46.00,42.00,38.00,46.00
1097621,SF_DS,68.00,52.00,48.00,50.00,44.00,42.00
1299272,SF_DS,70.00,58.00,46.00,56.00,50.00,48.00
1116527,SF_DS,56.00,54.00,48.00,44.00,48.00,46.00
1369041,SF_DS,62.00,50.00,40.00,36.00,42.00,34.00
1219336,SF_DS,66.00,58.00,40.00,52.00,40.00,36.00
1280908,SF_DS,64.00,60.00,36.00,54.00,54.00,52.00
1117038,SF_DS,54.00,62.00,40.00,52.00,40.00,38.00
1090787,SF_DS,66.00,62.00,58.00,60.00,54.00,56.00
1105661,SF_DS,62.00,54.00,52.00,44.00,50.00,50.00
1247628,SF_DS,50.00,52.00,36.00,48.00,44.00,48.00
1090280,SF_DS,56.00,54.00,40.00,50.00,48.00,50.00
1315950,SF_DS,56.00,68.00,42.00,44.00,48.00,48.00
1103111,SF_DS,52.00,48.00,34.00,44.00,36.00,46.00
1120573,SF_DS,68.00,56.00,46.00,50.00,48.00,38.00
1083431,SF_DS,52.00,50.00,34.00,44.00,38.00,42.00
1299381,SF_DS,56.00,54.00,34.00,48.00,34.00,52.00
1106900,SF_DS,46.00,36.00,22.00,32.00,30.00,32.00
1110286,SF_DS,64.00,62.00,56.00,52.00,52.00,46.00
1084578,SF_DS,66.00,50.00,38.00,46.00,46.00,40.00
1310791,SF_DS,60.00,52.00,38.00,42.00,42.00,30.00
1284252,SF_DS,64.00,62.00,56.00,58.00,54.00,56.00
1099902,SF_DS,62.00,60.00,46.00,52.00,50.00,48.00
1113653,SF_DS,56.00,62.00,26.00,38.00,36.00,40.00
1276235,SF_DS,60.00,54.00,32.00,46.00,42.00,46.00
1298960,SF_DS,56.00,52.00,34.00,50.00,50.00,48.00
1403200,SF_DS,48.00,44.00,28.00,38.00,30.00,34.00
1286811,SF_DS,72.00,54.00,46.00,36.00,46.00,46.00
1080834,SF_DS,54.00,52.00,32.00,46.00,46.00,48.00
1129508,SF_DS,56.00,48.00,24.00,44.00,36.00,38.00
1134557,SF_DS,60.00,56.00,40.00,40.00,42.00,38.00
1106830,SF_DS,60.00,64.00,38.00,56.00,48.00,56.00
1315693,SF_DS,56.00,62.00,46.00,46.00,42.00,50.00
1305140,SF_DS,56.00,54.00,32.00,38.00,38.00,46.00
1119789,SF_DS,50.00,58.00,42.00,30.00,32.00,40.00
1306175,SF_DS,62.00,54.00,36.00,40.00,44.00,46.00
1111886,SF_DS,66.00,64.00,54.00,46.00,42.00,58.00
1285548,SF_DS,70.00,54.00,44.00,52.00,36.00,52.00
1394131,SF_DS,64.00,62.00,56.00,54.00,54.00,52.00
1314244,SF_DS,68.00,62.00,48.00,58.00,48.00,50.00
1098413,SF_DS,60.00,46.00,28.00,44.00,40.00,42.00
1393025,SF_DS,50.00,44.00,22.00,36.00,30.00,36.00
1208169,SF_DS,64.00,54.00,50.00,48.00,48.00,46.00
1318640,SF_DS,54.00,58.00,36.00,38.00,48.00,50.00
1123892,SF_DS,64.00,66.00,38.00,54.00,58.00,54.00
1373473,SF_DS,54.00,56.00,36.00,38.00,44.00,44.00
1313617,SF_DS,64.00,62.00,58.00,48.00,56.00,56.00
1084727,SF_DS,50.00,48.00,28.00,40.00,40.00,46.00
1387494,SF_DS,62.00,60.00,54.00,56.00,52.00,58.00
1130873,SF_DS,52.00,54.00,38.00,44.00,40.00,48.00
1114386,SF_DS,78.00,54.00,44.00,50.00,44.00,50.00
1038113,SF_DS,50.00,46.00,30.00,40.00,44.00,44.00
1093335,SF_DS,42.00,38.00,18.00,28.00,22.00,36.00
1103847,SF_DS,60.00,62.00,38.00,46.00,42.00,58.00
1133180,SF_DS,54.00,44.00,24.00,42.00,32.00,34.00
1369157,SF_DS,58.00,52.00,22.00,42.00,42.00,36.00
1068692,SF_DS,64.00,60.00,36.00,58.00,44.00,46.00
1105814,SF_DS,62.00,50.00,38.00,44.00,44.00,44.00
1087704,SF_DS,64.00,66.00,56.00,58.00,60.00,62.00
1304340,SF_DS,70.00,56.00,40.00,46.00,44.00,52.00
1310230,SF_DS,66.00,58.00,36.00,40.00,50.00,40.00
1113966,SF_DS,66.00,62.00,48.00,54.00,54.00,54.00
1371637,SF_DS,58.00,54.00,44.00,52.00,42.00,48.00
1132096,SF_DS,66.00,60.00,44.00,52.00,44.00,48.00
1306041,SF_DS,60.00,58.00,52.00,56.00,36.00,50.00
1397316,SF_DS,64.00,52.00,42.00,48.00,50.00,36.00
1270316,SF_DS,68.00,66.00,52.00,50.00,52.00,54.00
